,barcode,category,categoryCode,cpg,name,topBrand,brandCode,brandId
772,511111903291,,,5332f7ffe4b03c9a25efd16b,Activia,True,,5332f807e4b03c9a25efd16f
773,511111201793,Snacks,,5332f5fbe4b03c9a25efd0ba,Baked!,True,,585a9618e4b03e62d1ce0e75
774,511111816546,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1599159969725,True,TEST BRANDCODE @1599159969725,5f513ea1be37ce21f1287c06
775,511111216421,Baking,BAKING,5f4cffbaa475f1050a66b573,test brand @1598881723241,True,,5f4cffbba475f1050a66b574
776,511111701903,Grocery,,559c2234e4b06aca36af13c6,Wyler's,False,WYLER'S,57ebc2f0e4b0ac389136a34c
777,511111616979,Baking,BAKING,5f7ba932be37ce2f290fb251,test brand @1601939762943,True,TEST BRANDCODE @1601939762943,5f7ba932be37ce2f290fb254
778,511111006183,Frozen,,559c2234e4b06aca36af13c6,Fat Rabbit,True,FAT RABBIT,5db9e6551dda2c3e1416aea0
779,511111406068,Breakfast & Cereal,,5332f5f3e4b03c9a25efd0ae,Total™,True,TOTAL,5daf60021dda2c3e1416ae9a
780,511111516071,Baking,BAKING,5f493e72be37ce64d0ae36c0,test brand @1598635634169,True,,5f493e72be37ce64d0ae36c1
781,511111616023,Baking,BAKING,5f493dabbe37ce64d0ae36ba,test brand @1598635435829,True,TEST BRANDCODE @1598635435829,5f493dabbe37ce64d0ae36bb
782,511111402688,,,55a58719e4b0d0a65b3693cc,Nature's Bakery,True,,55a58727e4b0d0a65b3693cd
783,511111118237,Baking,BAKING,5fd3ae1fbe37ce0d9386bb54,test brand @1607708191092,False,TEST BRANDCODE @1607708191093,5fd3ae1fbe37ce0d9386bb55
784,511111503026,,,5332f5ebe4b03c9a25efd0a8,Coca-Cola Zero,True,,5332fa75e4b03c9a25efd220
785,511111617624,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,Malibu® Pineapple,False,MALIBU® PINEAPPLE,5fb80dd6be37ce522e165cd3
786,511111104742,Baby,,59b96571e4b0bf7c7980588b,PURE BLISS,True,PURE BLISS,5c49d24df0276e771967371a
787,511111604198,Snacks,,5a734034e4b0d58f376be874,Royal Dansk,False,ROYAL DANSK,5a8c36a1e4b0ccf165fac9e8
788,511111416227,Baking,BAKING,5f4a64e7be37ce17d23b3178,test brand @1598711015578,True,TEST BRANDCODE @1598711015578,5f4a64e7be37ce17d23b317c
789,511111402039,Dairy,,53e10d6368abd3c7065097cc,Kraft Shredded Cheese,True,,57ebc13de4b0ac389136a33e
790,511111402312,Frozen,,559c2234e4b06aca36af13c6,Devour,False,DEVOUR,57d9612be4b0ac389136a2ba
791,511111704096,Canned Goods & Soups,,5a734034e4b0d58f376be874,Campbell's,False,CAMPBELLS,5a8c2f7ce4b0ccf165fac9e3
792,511111915072,Baking,BAKING,5f16f535be37ce2b30061e24,test brand @1595340086011,True,TEST BRANDCODE @1595340086011,5f16f536be37ce2b30061e26
793,511111200475,Beverages,,5332f5fbe4b03c9a25efd0ba,STUBBORN SODA,False,STUBBORN SODA,5a4d254ce4b0bcb2c74ea780
794,511111517443,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,Avion® Silver,False,AVION,5fb6d83cbe37ce522e165cc1
795,511111318682,Baking,BAKING,5ff74126be37ce1e961f326e,test brand @1610039590413,False,TEST BRANDCODE @1610039590413,5ff74126be37ce1e961f3271
796,511111618669,Baking,BAKING,5ff74126be37ce1e961f326e,test brand @1610039590349,False,TEST BRANDCODE @1610039590349,5ff74126be37ce1e961f326f
797,511111818694,Baking,BAKING,5ff74126be37ce1e961f326e,test brand @1610039590443,False,TEST BRANDCODE @1610039590443,5ff74126be37ce1e961f3272
